	Gene.name	Gene.description	Gene.type	logFC	logCPM	LR	PValue	FDR	DEG
NA.37	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.39	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.40	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.41	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.42	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.43	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.45	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.46	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.47	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.48	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.49	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.50	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.51	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.52	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.53	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.54	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.55	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.56	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.58	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.59	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.60	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.61	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.62	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.63	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.64	NA	NA	NA	NA	NA	NA	NA	NA	NA
