lipid	class	logFC	mean_DG	mean_NG	p_value	method	FDR	sig	direction
PC-P_(35:2)	PC-P	-0.142788883448304	0.249386845879846	0.39217572932815	0.577071199183369	Mann-Whitney	0.70530924344634	FALSE	Down in DG
PS_(38:2)	PS	0.57045376787594	-0.293653683417897	-0.864107451293837	0.390084239558016	Mann-Whitney	0.715154439189695	FALSE	Up in DG
PS_(35:2)	PS	-0.0905501359968282	1.11914621847641	1.20969635447324	0.382006563970083	t-test	0.715154439189695	FALSE	Down in DG
DG_(33:0)	DG	0.0777790546771486	-2.49944964104251	-2.57722869571966	0.64425998695033	t-test	0.736297127943235	FALSE	Up in DG
GB3_(40:1)	GB3	-0.388175657072712	3.4275481601361	3.81572381720881	0.273230504250541	Mann-Whitney	0.73871601914345	FALSE	Down in DG
GB3_(34:1)	GB3	-0.033944865039766	6.21724498128751	6.25118984632727	0.492477346095633	t-test	0.73871601914345	FALSE	Down in DG
TG_(58:2)	TG	0.246978626548754	-5.17848715232764	-5.42546577887639	0.65076831028561	Mann-Whitney	0.744855294905216	FALSE	Up in DG
TG_(58:5)	TG	0.081706161479322	-3.85098560651693	-3.93269176799625	0.662340051729754	t-test	0.749075058503889	FALSE	Up in DG
PC_(35:2)	PC	-0.0625840459093693	-0.588703650420381	-0.526119604511012	0.409092544292781	t-test	0.750002997870099	FALSE	Down in DG
PC_(38:2)	PC	0.0021076522641974	-2.59052405511934	-2.59263170738354	0.397361421860799	Mann-Whitney	0.750002997870099	FALSE	Up in DG
PE_(35:0)	PE	-0.775832351037864	-4.31175498673888	-3.53592263570101	0.235008209741053	Mann-Whitney	0.757999773339128	FALSE	Down in DG
PE_(32:0)	PE	0.599642084693316	-1.68371566275754	-2.28335774745086	0.466461398977925	Mann-Whitney	0.757999773339128	FALSE	Up in DG
PE_(38:4)	PE	0.0374684939217573	5.12043650242509	5.08296800850334	0.390084239558016	Mann-Whitney	0.757999773339128	FALSE	Up in DG
PE_(34:1)	PE	0.0796998535068121	3.46914828433139	3.38944843082457	0.442153495046453	t-test	0.757999773339128	FALSE	Up in DG
PE_(32:1)	PE	0.276769411344186	-0.287325490850427	-0.564094902194612	0.302988709732853	Mann-Whitney	0.757999773339128	FALSE	Up in DG
TG_(54:1)	TG	-0.0349235155415724	-1.55473642135233	-1.51981290581075	0.679364628557786	Mann-Whitney	0.759289878976349	FALSE	Down in DG
PE_(36:1)	PE	0.0315657191778378	4.61143660662715	4.57987088744931	0.63920437438595	t-test	0.769085611203577	FALSE	Up in DG
PE_(36:4)	PE	0.0480430286582374	3.32039978563961	3.27235675698137	0.578713148644034	t-test	0.769085611203577	FALSE	Up in DG
PE_(40:8)	PE	-0.801137486472097	-4.24027634898329	-3.43913886251119	0.650764747941488	Mann-Whitney	0.769085611203577	FALSE	Down in DG
TG_(54:2)	TG	-0.0464476944421575	1.67619117938232	1.72263887382447	0.696647685659735	t-test	0.769552676019474	FALSE	Down in DG
DG_(36:3)	DG	0.034806884057359	3.50879830226909	3.47399141821173	0.737926298548022	Mann-Whitney	0.770010050658806	FALSE	Up in DG
DG_(36:1)	DG	0.0169353952471132	1.30346347415495	1.28652807890783	0.737926298548022	Mann-Whitney	0.770010050658806	FALSE	Up in DG
Lacto-cer_(42:2)	Lacto-cer	-0.435836968512152	3.31762428139121	3.75346124990336	0.309189694782377	Mann-Whitney	0.772974236955942	FALSE	Down in DG
Lacto-cer_(42:1)	Lacto-cer	0.0947278777619216	4.4802495880529	4.38552171029098	0.466461398977925	Mann-Whitney	0.777435664963208	FALSE	Up in DG
TG_(06:0)	TG	-0.264624624750608	-7.01302525397182	-6.74840062922121	0.72804873164265	Mann-Whitney	0.785961698932406	FALSE	Down in DG
TG_(56:1)	TG	0.10880335280228	-5.35140167363956	-5.46020502644184	0.72804873164265	Mann-Whitney	0.785961698932406	FALSE	Up in DG
SM_(36:1)	SM	0.0550354682717344	2.92118116166738	2.86614569339565	0.528316359658244	t-test	0.78797098454252	FALSE	Up in DG
SM_(34:1-OH)	SM	0.0632356972433454	-4.55596666997411	-4.61920236721746	0.533103259152887	Mann-Whitney	0.78797098454252	FALSE	Up in DG
SM_(32:1)	SM	-0.0525807416848154	-0.224247059588033	-0.171666317903217	0.534694596653853	t-test	0.78797098454252	FALSE	Down in DG
GM3_(40:1)	GM3	0.004506285812103	6.07894847470159	6.07444218888949	0.72804873164265	Mann-Whitney	0.790622811767842	FALSE	Up in DG
GM3_(38:1)	GM3	0.0103480449980617	4.5087664205958	4.49841837559773	0.790622811767842	t-test	0.790622811767842	FALSE	Up in DG
GM3_(36:1)	GM3	-0.0682556687323412	3.07755784157956	3.1458135103119	0.777855840919147	Mann-Whitney	0.790622811767842	FALSE	Down in DG
PC_(29:0)	PC	0.122741675183187	-6.60036399233063	-6.72310566751382	0.507605312914994	t-test	0.796125461352668	FALSE	Up in DG
PC_(33:1)	PC	-0.0586924366692931	-1.26514638108273	-1.20645394441344	0.466461398977925	Mann-Whitney	0.796125461352668	FALSE	Down in DG
PC_(33:2)	PC	-0.0638126762170463	-2.07228655911865	-2.0084738829016	0.51632621444203	t-test	0.796125461352668	FALSE	Down in DG
PC_(35:4)	PC	0.093474507430602	-4.92905896576432	-5.02253347319492	0.530750307568445	t-test	0.796125461352668	FALSE	Up in DG
SM_(34:1)	SM	0.0174121947035042	5.25582399508272	5.23841180037921	0.583281494578322	t-test	0.816594092409651	FALSE	Up in DG
SM_(40:1)	SM	-0.0375583991673047	3.55776760290782	3.59532600207512	0.622677007166341	Mann-Whitney	0.819939223182463	FALSE	Down in DG
SM_(34:0)	SM	-0.0338617301223105	0.685865952495228	0.719727682617539	0.644237961071935	t-test	0.819939223182463	FALSE	Down in DG
DG_(34:0)	DG	0.0322234688313041	2.62747385172442	2.59525038289312	0.821984200088076	t-test	0.821984200088076	FALSE	Up in DG
PI_(37:4)	PI	-0.399746392745093	-1.00266270198799	-0.602916309242896	0.466441917407026	Mann-Whitney	0.826501634697573	FALSE	Down in DG
PI_(38:4)	PI	0.00761011218544727	6.40122207745511	6.39361196526967	0.507560729211233	Mann-Whitney	0.826501634697573	FALSE	Up in DG
PI_(36:4)	PI	-0.0855430204677199	3.27506124350977	3.36060426397749	0.444587914969142	t-test	0.826501634697573	FALSE	Down in DG
PI_(34:1)	PI	0.00752162332723061	1.6038844150057	1.59636279167847	0.622677007166341	Mann-Whitney	0.826501634697573	FALSE	Up in DG
PI_(40:2)	PI	-0.45158720905132	-4.69312212991382	-4.2415349208625	0.4121592081539	Mann-Whitney	0.826501634697573	FALSE	Down in DG
PI_(32:1)	PI	-0.240160771751299	-1.70548736775016	-1.46532659599886	0.70842997259792	Mann-Whitney	0.826501634697573	FALSE	Down in DG
TG_(58:3)	TG	0.175662083974577	-4.21156410511718	-4.38722618909176	0.777855840919147	Mann-Whitney	0.830295560531674	FALSE	Up in DG
TG_(57:3)	TG	-0.0392491508224486	-6.82194914102537	-6.78269999020292	0.798050338340312	Mann-Whitney	0.842386468248107	FALSE	Down in DG
PC_(36:5)	PC	0.0716558005821617	-2.58763637212299	-2.65929217270515	0.646288944209007	t-test	0.85310140635589	FALSE	Up in DG
PC_(39:4)	PC	-0.074203439036256	-5.56107272816396	-5.48686928912771	0.615509385463481	t-test	0.85310140635589	FALSE	Down in DG
PC_(37:4)	PC	0.0564919779301913	-3.36537740489378	-3.42186938282397	0.634012437166276	t-test	0.85310140635589	FALSE	Up in DG
